,ISBN,title,author,publish_year,image_url,avg_rating,num_of_ratings
27,0671027360,Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,3.718430034129693,586
28,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg,2.893617021276596,94
29,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,3.135514018691589,214
30,0425184226,The Sum of All Fears,Tom Clancy,2002,http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg,2.2644628099173554,121
31,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg,4.121951219512195,82
32,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,3.2557603686635943,434
33,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg,2.3380281690140845,71
34,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,2.5,176
35,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,1.6025641025641026,78
36,038572179X,Atonement : A Novel,IAN MCEWAN,2003,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,2.7865168539325844,178
37,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg,2.956043956043956,91
38,0380778556,Rebecca,Daphne Du Maurier,1994,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg,3.847058823529412,85
39,0446527165,Wish You Well,David Baldacci,2000,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg,2.9523809523809526,84
40,0330332775,Bridget Jones's Diary,Helen Fielding,1997,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,4.130769230769231,130
41,0060977493,The God of Small Things,Arundhati Roy,1998,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,3.2964601769911503,226
42,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg,3.466666666666667,120
43,0316693006,Four Blind Mice,James Patterson,2002,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,4.114754098360656,122
44,0345378490,Congo,Michael Crichton,1995,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,2.46875,288
45,0375400117,Memoirs of a Geisha,Arthur Golden,1997,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg,4.710843373493976,83
46,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg,3.301282051282051,156
47,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,2.8,135
48,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,2.75,184
49,0385497466,The Brethren,JOHN GRISHAM,2000,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,3.0694444444444446,144
50,0385508042,The King of Torts,John Grisham,2003,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,3.142857142857143,210
51,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,http://images.amazon.com/images/P/0385509456.01.MZZZZZZZ.jpg,3.7560975609756095,82
52,0385511612,Bleachers,John Grisham,2003,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,3.2582781456953644,151
53,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg,3.8692307692307693,130
54,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,3.0,230
55,0446610399,The Rescue,Nicholas Sparks,2001,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,3.3846153846153846,195
56,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg,3.5045045045045047,111
57,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg,3.2658227848101267,79
58,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,4.218631178707224,526
59,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg,3.9135802469135803,81
60,0671027387,Deception Point,Dan Brown,2002,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,2.8623481781376516,247
61,0684848783,Tis : A Memoir,Frank McCourt,1999,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg,3.160919540229885,174
62,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,3.575609756097561,205
63,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,3.766871165644172,326
64,0151008116,Life of Pi,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,4.5,170
65,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,3.9160839160839163,143
66,0804111359,Secret History,DONNA TARTT,1993,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,2.9940119760479043,167
67,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,3.697841726618705,139
68,0316782505,The Weight of Water,Anita Shreve,2001,http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg,3.0256410256410255,117
69,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg,3.817073170731707,82
70,0451526341,Animal Farm,George Orwell,2004,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,4.695121951219512,164
71,0684833395,Catch 22,Joseph Heller,1996,http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg,4.037037037037037,108
72,0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,http://images.amazon.com/images/P/0375719180.01.MZZZZZZZ.jpg,3.220779220779221,77
73,044023722X,A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,3.187017001545595,647
74,0312963009,Neanderthal: A Novel,John Darnton,1997,http://images.amazon.com/images/P/0312963009.01.MZZZZZZZ.jpg,1.7916666666666667,72
75,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,2.2452830188679247,265
76,0425120279,The Hunt for Red October,Tom Clancy,1990,http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg,2.451219512195122,82
77,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,4.219512195121951,615
78,0312995423,Digital Fortress : A Thriller,Dan Brown,2003,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,3.419512195121951,205
79,038542471X,The Client,John Grisham,1993,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,2.9298245614035086,114
80,0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,http://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg,3.011764705882353,170
81,067103619X,Lake News,Barbara Delinsky,2000,http://images.amazon.com/images/P/067103619X.01.MZZZZZZZ.jpg,2.2253521126760565,71
82,0156528207,The Little Prince,Antoine de Saint-Exup̩ry,1968,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,5.7974683544303796,79
83,0380012863,Jonathan Livingston Seagull,Richard Bach,1976,http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg,3.9152542372881354,118
84,0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg,2.86231884057971,138
85,0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,http://images.amazon.com/images/P/0060173289.01.MZZZZZZZ.jpg,3.453846153846154,130
86,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,4.468725868725869,1295
87,0440224675,Hannibal,Thomas Harris,2000,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,2.545774647887324,284
88,0449002632,London : The Novel,EDWARD RUTHERFURD,1998,http://images.amazon.com/images/P/0449002632.01.MZZZZZZZ.jpg,2.811111111111111,90
89,0553569058,The Robber Bride,Margaret Atwood,1995,http://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg,1.7272727272727273,99
90,1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,http://images.amazon.com/images/P/1878424319.01.MZZZZZZZ.jpg,3.4962406015037595,133
91,0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,http://images.amazon.com/images/P/0553210092.01.MZZZZZZZ.jpg,3.2065217391304346,92
92,0345424719,A Widow for One Year,JOHN IRVING,1999,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,3.1517241379310343,145
93,0375726403,Empire Falls,Richard Russo,2002,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,3.454828660436137,321
94,0385503857,Oryx and Crake,Margaret Atwood,2003,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,3.0454545454545454,88
95,0440226104,Black and Blue,ANNA QUINDLEN,1999,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,2.79467680608365,263
96,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,3.5705128205128207,468
97,0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,4.142322097378277,267
98,0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,http://images.amazon.com/images/P/0671002481.01.MZZZZZZZ.jpg,1.7333333333333334,90
99,0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,4.026936026936027,297
100,0446610178,The Sky Is Falling,Sidney Sheldon,2001,http://images.amazon.com/images/P/0446610178.01.MZZZZZZZ.jpg,2.2816901408450705,71
101,0060915544,The Bean Trees,Barbara Kingsolver,1989,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,4.086065573770492,244
102,0060932759,Daughter of Fortune,Isabel Allende,2000,http://images.amazon.com/images/P/0060932759.01.MZZZZZZZ.jpg,3.4732142857142856,112
103,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,4.334716459197787,723
104,0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,3.5970464135021096,474
105,0380710218,Postmortem,Patricia Daniels Cornwell,1993,http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg,3.2916666666666665,144
106,0515118656,The Cove,Catherine Coulter,1996,http://images.amazon.com/images/P/0515118656.01.MZZZZZZZ.jpg,2.0842105263157893,95
107,0671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,http://images.amazon.com/images/P/0671673688.01.MZZZZZZZ.jpg,1.5298507462686568,134
108,0385721420,Three Junes,JULIA GLASS,2003,http://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg,2.37125748502994,167
109,0451202341,Back Roads,Tawni O'Dell,2001,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,2.5586206896551724,145
110,0553272837,Brazen Virtue,Nora Roberts,1996,http://images.amazon.com/images/P/0553272837.01.MZZZZZZZ.jpg,2.7837837837837838,74
111,0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,2.6523809523809523,210
112,080213825X,Four Blondes,Candace Bushnell,2001,http://images.amazon.com/images/P/080213825X.01.MZZZZZZZ.jpg,2.7222222222222223,108
113,0515127833,River's End,Nora Roberts,2003,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg,2.1171875,128
114,0345441133,Summer Island,KRISTIN HANNAH,2002,http://images.amazon.com/images/P/0345441133.01.MZZZZZZZ.jpg,2.5172413793103448,87
115,0385424728,The Chamber,John Grisham,1994,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg,3.2950819672131146,122
116,0385472951,The Partner,John Grisham,1997,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg,3.6611570247933884,121
117,0425182878,Chosen Prey,John Sandford,2004,http://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg,3.1805555555555554,144
118,0553564528,Guilty as Sin,TAMI HOAG,1997,http://images.amazon.com/images/P/0553564528.01.MZZZZZZZ.jpg,1.8958333333333333,144
119,055356451X,Night Sins,TAMI HOAG,1995,http://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg,2.623529411764706,170
120,042517736X,Abduction,Robin Cook,2000,http://images.amazon.com/images/P/042517736X.01.MZZZZZZZ.jpg,1.6082474226804124,97
121,0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,3.777408637873754,301
122,0345369947,The Mummy or Ramses the Damned,Anne Rice,1991,http://images.amazon.com/images/P/0345369947.01.MZZZZZZZ.jpg,3.356060606060606,132
123,0553576925,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,http://images.amazon.com/images/P/0553576925.01.MZZZZZZZ.jpg,1.9014084507042253,71
124,0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,http://images.amazon.com/images/P/0446394521.01.MZZZZZZZ.jpg,2.6121212121212123,165
125,068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,3.6818181818181817,220
126,0553578693,The Next Accident,LISA GARDNER,2002,http://images.amazon.com/images/P/0553578693.01.MZZZZZZZ.jpg,2.2828947368421053,152
127,0451184718,The Rosewood Casket,Sharyn McCrumb,1997,http://images.amazon.com/images/P/0451184718.01.MZZZZZZZ.jpg,2.328767123287671,73
128,0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,4.037383177570093,321
129,0440122090,Echoes,Maeve Binchy,1989,http://images.amazon.com/images/P/0440122090.01.MZZZZZZZ.jpg,2.5700934579439254,107
130,0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,3.656357388316151,291
131,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,http://images.amazon.com/images/P/0060930187.01.MZZZZZZZ.jpg,4.265822784810126,79
132,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,3.12751677852349,298
133,0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,http://images.amazon.com/images/P/0446519138.01.MZZZZZZZ.jpg,3.607476635514019,107
134,0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,http://images.amazon.com/images/P/0399144463.01.MZZZZZZZ.jpg,3.9753086419753085,162
135,0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,4.105982905982906,585
136,0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,3.106267029972752,367
137,0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,3.3898916967509027,277
138,0385504209,The Da Vinci Code,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,4.652321630804077,883
139,0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,http://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg,3.50381679389313,131
140,0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,http://images.amazon.com/images/P/0316789089.01.MZZZZZZZ.jpg,3.652173913043478,138
141,0385505833,Skipping Christmas,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,4.252380952380952,210
142,0679442790,The Reader,Bernhard Schlink,1997,http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg,3.2783505154639174,97
143,0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,http://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg,3.6666666666666665,114
144,0446523569,Message in a Bottle,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg,3.872093023255814,86
145,0446527793,The Guardian,Nicholas Sparks,2003,http://images.amazon.com/images/P/0446527793.01.MZZZZZZZ.jpg,3.0238095238095237,84
146,0446531332,Nights in Rodanthe,Nicholas Sparks,2002,http://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg,3.7205882352941178,136
147,0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg,3.7686567164179103,134
148,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,4.27683615819209,177
149,0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,3.7974683544303796,158
150,0316693200,2nd Chance,James Patterson,2002,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,3.704,125
151,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,http://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg,3.621739130434783,230
152,0316776963,Me Talk Pretty One Day,David Sedaris,2001,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,3.6911764705882355,340
153,0451181379,The Door to December,Dean R. Koontz,1994,http://images.amazon.com/images/P/0451181379.01.MZZZZZZZ.jpg,2.4846153846153847,130
154,0425142485,The Funhouse,Dean R. Koontz,1994,http://images.amazon.com/images/P/0425142485.01.MZZZZZZZ.jpg,2.077777777777778,90
155,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,http://images.amazon.com/images/P/1573229571.01.MZZZZZZZ.jpg,4.179245283018868,106
156,0743211383,Dreamcatcher,Stephen King,2001,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg,3.710280373831776,107
157,0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,http://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg,2.2427184466019416,103
158,0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,http://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg,4.915730337078652,178
159,0451155750,The Dead Zone,Stephen King,2004,http://images.amazon.com/images/P/0451155750.01.MZZZZZZZ.jpg,3.433734939759036,83
160,0380820447,"For Better, for Worse: A Novel",Carole Matthews,2002,http://images.amazon.com/images/P/0380820447.01.MZZZZZZZ.jpg,2.452054794520548,73
161,0425161722,Net Force,Tom Clancy,1999,http://images.amazon.com/images/P/0425161722.01.MZZZZZZZ.jpg,1.9285714285714286,84
162,0440211727,A Time to Kill,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,2.97678916827853,517
163,038533334X,Charming Billy,Alice McDermott,1999,http://images.amazon.com/images/P/038533334X.01.MZZZZZZZ.jpg,2.6090225563909772,133
164,0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,http://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg,1.3733333333333333,75
165,0440224829,Granny Dan,DANIELLE STEEL,2000,http://images.amazon.com/images/P/0440224829.01.MZZZZZZZ.jpg,1.4556962025316456,79
166,0553212583,Wuthering Heights,EMILY BRONTE,1983,http://images.amazon.com/images/P/0553212583.01.MZZZZZZZ.jpg,2.7560975609756095,82
167,0425166619,Toxin,Robin Cook,1999,http://images.amazon.com/images/P/0425166619.01.MZZZZZZZ.jpg,2.760869565217391,92
168,0765341972,The Mothman Prophecies,John A. Keel,2002,http://images.amazon.com/images/P/0765341972.01.MZZZZZZZ.jpg,2.589041095890411,73
169,0553561618,Dark Paradise,TAMI HOAG,1994,http://images.amazon.com/images/P/0553561618.01.MZZZZZZZ.jpg,2.153284671532847,137
170,0312422156,Middlesex: A Novel,Jeffrey Eugenides,2003,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg,3.798449612403101,129
171,044022165X,The Rainmaker,JOHN GRISHAM,1996,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,2.6580310880829017,386
172,0425124347,The Bad Place,Dean R. Koontz,1994,http://images.amazon.com/images/P/0425124347.01.MZZZZZZZ.jpg,2.8076923076923075,130
173,0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,http://images.amazon.com/images/P/0312282990.01.MZZZZZZZ.jpg,3.8484848484848486,198
174,0394820371,The Phantom Tollbooth,Norton Juster,1993,http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg,4.203389830508475,118
175,0449134482,Dances With Wolves,Michael Blake,1990,http://images.amazon.com/images/P/0449134482.01.MZZZZZZZ.jpg,1.5702479338842976,121
176,0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg,3.8698224852071004,169
177,034538184X,Degree of Guilt,Richard North Patterson,1995,http://images.amazon.com/images/P/034538184X.01.MZZZZZZZ.jpg,1.7706422018348624,109
178,0805062971,Fight Club,Chuck Palahniuk,1999,http://images.amazon.com/images/P/0805062971.01.MZZZZZZZ.jpg,4.775280898876405,89
